呜,9,89,3
呝,10,88,4
呠,10,88,2
呡,11,87,2
呢,17,81,3
呣,11,87,4
呤,14,84,4
呦,17,81,1
呧,15,83,3
周,17,81,3
呫,14,84,2
呬,18,80,2
呯,9,89,4
呰,15,83,3
呱,18,80,2
呲,11,87,3
味,15,83,2
呴,16,82,1
呵,15,83,3
呶,18,80,3
呷,17,81,2
呸,9,89,4
呺,9,89,3
呻,17,81,2
呼,14,84,4
命,14,84,3
呿,15,83,2
咀,17,81,2
咁,16,82,1
咂,12,86,3
咄,17,81,2
咅,15,83,2
咆,18,80,1
咇,10,88,5
咈,19,79,2
咋,13,85,1
和,15,83,2
咍,15,83,3
咎,16,82,2
咏,15,83,4
咐,15,83,3
咑,15,83,3
咒,14,84,3
咔,8,90,2
咕,15,83,2
咖,18,80,3
咗,9,89,2
咙,11,87,3
咚,9,89,5
咛,8,90,3
咝,10,88,4
咠,15,83,2
咡,16,82,2
咢,16,82,4
咣,10,88,4
咤,16,82,3
咥,17,81,2
咦,18,80,2
咧,17,81,4
咨,15,83,4
咩,15,83,2
咪,16,82,4
咫,16,82,4
咬,15,83,5
咭,16,82,3
咮,16,82,2
咯,17,81,2
咱,16,82,2
咳,16,82,3
咴,10,88,4
咸,16,82,4
咹,15,83,3
咺,16,82,4
咻,16,82,3
咽,18,80,2
咾,17,81,1
咿,16,82,2
哀,16,82,2
品,14,84,3
哂,19,79,2
哄,16,82,4
哆,17,81,1
哇,16,82,3
哈,16,82,3
哉,17,81,3
哋,12,86,3
哌,11,87,3
响,17,81,3
哎,15,83,3
哏,10,88,2
哐,10,88,3
哑,11,87,3
哒,10,88,3
哓,10,88,3
哔,9,89,4
哕,9,89,3
哗,10,88,3
哙,9,89,4
哚,10,88,3
哜,9,89,4
哝,10,88,2
哞,9,89,3
哟,10,88,5
哢,18,80,2
哤,12,86,3
哥,15,83,4
哦,19,79,2
哧,10,88,4
哨,16,82,1
哩,18,80,2
哪,19,79,3
哫,10,88,2
哭,16,82,4
哮,17,81,2
哰,9,89,3
哱,16,82,3
哲,16,82,3
哳,17,81,3
哺,20,78,2
哼,15,83,4
哽,19,79,2
哿,16,82,4
唁,16,82,6
唅,16,82,3
唆,17,81,3
唇,18,80,3
唈,17,81,3
唉,16,82,2
唊,10,88,4
唎,17,81,4
唏,18,80,3
唐,17,81,2
唑,10,88,4
唔,18,80,3
唛,11,87,2
唝,10,88,5
唞,10,88,5
唠,10,88,4
唡,12,86,2
唢,10,88,6
唣,10,88,3
唤,10,88,2
唧,12,86,3
唪,17,81,1
唫,17,81,4
唬,11,87,3
售,17,81,2
唯,18,80,1
唰,14,84,4
唱,18,80,3
唲,16,82,2
唳,19,79,3
唵,18,80,1
唶,18,80,3
唷,10,88,3
唹,18,80,4
唻,16,82,3
唼,17,81,1
唾,19,79,2
唿,11,87,6
啀,19,79,3
啁,19,79,4
啃,10,88,3
啄,17,81,2
啅,17,81,2
商,18,80,2
啉,16,82,3
啊,18,80,4
啍,16,82,4
啎,10,88,3
啐,15,83,4
啓,17,81,2
啕,11,87,4
啖,17,81,7
啜,19,79,5
啡,16,82,3
啤,17,81,2
啥,9,89,2
啦,17,81,5
啧,10,88,5
啪,11,87,3
啫,10,88,2
啬,9,89,5
啭,11,87,3
啮,10,88,4
啯,13,85,4
啰,11,87,3
啱,11,87,3
啲,12,86,3
啴,10,88,3
啵,12,86,5
啶,9,89,4
啷,12,86,3
啸,12,86,6
啺,12,86,3
啻,18,80,2
啼,18,80,3
啽,17,81,4
啾,19,79,3
喀,18,80,2
喁,19,79,2
喂,18,80,3
喃,19,79,3
善,17,81,2
喆,17,81,4
喇,20,78,4
喈,17,81,3
喉,18,80,2
喊,19,79,5
喋,17,81,2
喌,10,88,8
喏,17,81,3
喑,17,81,3
喓,18,80,3
喔,19,79,2
喘,19,79,3
喙,19,79,2
喜,17,81,3
喝,18,80,1
喟,20,78,3
喣,15,83,6
喤,19,79,3
喥,11,87,4
喦,10,88,4
喧,17,81,5
喨,18,80,6
喩,20,78,4
喭,17,81,7
喱,12,86,3
喳,10,88,3
喵,11,87,3
営,17,81,3
喷,10,88,5
喹,10,88,4
喺,12,86,5
喻,11,87,4
喼,10,88,6
喽,11,87,4
喾,9,89,5
喿,16,82,4
嗀,10,88,5
嗃,17,81,5
嗄,21,77,2
嗅,19,79,2
嗈,11,87,6
嗉,18,80,4
嗍,12,86,4
嗐,10,88,4
嗑,18,80,3
嗒,17,81,4
嗓,19,79,4
嗔,19,79,6
嗕,12,86,3
嗖,12,86,2
嗙,10,88,5
嗛,20,78,2
嗜,19,79,2
嗝,17,81,4
嗟,19,79,1
嗡,11,87,8
嗣,19,79,5
嗤,19,79,2
嗥,10,88,3
嗦,11,87,4
嗨,12,86,7
嗪,11,87,3
嗫,11,87,4
嗬,11,87,5
嗯,11,87,7
嗰,13,85,4
嗲,10,88,6
嗳,11,87,6
嗵,12,86,4
嗷,20,78,1
嗹,20,78,3
嗽,19,79,2
嗾,20,78,2
嗿,17,81,4
嘀,12,86,2
嘁,13,85,6
嘂,12,86,5
嘅,19,79,4
嘈,19,79,3
嘉,18,80,3
嘌,11,87,6
嘎,19,79,2
嘏,17,81,4
嘐,18,80,5
嘒,18,80,4
嘘,18,80,5
嘚,12,86,6
嘛,20,78,6
嘞,13,85,2
嘟,12,86,3
嘡,10,88,5
嘢,12,86,4
嘣,12,86,4
嘤,13,85,6
嘥,12,86,4
嘦,11,87,3
嘧,11,87,7
嘫,12,86,7
嘬,20,78,3
嘭,11,87,7
嘱,20,78,3
嘲,19,79,2
嘴,20,78,3
嘶,18,80,5
嘹,18,80,3
嘻,18,80,3
嘿,19,79,8
噀,18,80,6
噂,18,80,1
噅,12,86,9
噇,18,80,3
噌,19,79,4
噍,18,80,5
噎,20,78,5
噏,18,80,5
噔,17,81,4
噗,11,87,5
噘,13,85,6
噙,12,86,4
噛,19,79,3
噜,11,87,4
噞,17,81,5
噢,18,80,4
噤,20,78,6
器,19,79,1
噩,20,78,5
噪,19,79,5
噫,20,78,7
噬,20,78,5
噭,18,80,2
噱,20,78,2
噳,12,86,4
噶,18,80,2
噷,12,86,6
噻,12,86,4
噼,12,86,5
嚃,12,86,9
嚄,19,79,3
嚅,18,80,7
嚆,20,78,6
嚉,12,86,7
嚎,11,87,5
嚏,21,77,4
嚓,12,86,8
嚔,21,77,3
嚚,20,78,5
嚜,13,85,9
嚝,20,78,2
嚞,19,79,4
嚟,18,80,6
嚣,11,87,7
嚬,20,78,4
嚭,19,79,6
嚯,12,86,4
嚱,19,79,5
嚵,13,85,4
嚷,19,79,3
嚼,19,79,7
囆,14,84,4
囊,21,77,2
囍,20,78,6
囒,14,84,6
囔,14,84,3
囗,12,86,1
囘,16,82,2
囚,15,83,2
四,14,84,1
囝,17,81,2
回,16,82,2
囟,16,82,2
因,17,81,2
